DATA;HORA;IDADE;SEXO;PESO;ALTURA;VESTIMENTA;P1;P2;P3;P4;P5;P6;P7;P8;Tev;UTCI;SST;STE;pSTI;WBGT;WCI;Tek;TE;PST;Tmedia;Tmax;Tmin;Tu;UR;UR_Max;UR_Min;RSolarMed;RSolarTot;Vel_Vento;Dir_Vento;SD_DirVento;Vel_Vento_Max;Dir_Max_Vento;Chuva_Tot
5/8/2015;09:10;51;f;77;163;0,5;0;0;0;0;0;0;0;0;19,5;18,7;12,6;30;35,5;21,4;259,9;45,1;17,8;6,7;18,27;18,36;18,11;17,85;85,6;87,1;85;55,49;33,29;0,01;95,1;1,01;0,5;100,6;0
5/8/2015;09:10;50;f;69;170;1;0;0;0;1;0;0;0;0;19,5;18,7;12,6;30;35,5;21,4;259,9;45,1;17,8;6,7;18,27;18,36;18,11;17,85;85,6;87,1;85;55,49;33,29;0,01;95,1;1,01;0,5;100,6;0
5/8/2015;09:10;25;m;96;185;1;-1;0;-2;1;-1;-1;1;1;19,5;18,7;12,6;30;35,5;21,4;259,9;45,1;17,8;6,7;18,27;18,36;18,11;17,85;85,6;87,1;85;55,49;33,29;0,01;95,1;1,01;0,5;100,6;0
5/8/2015;09:10;27;f;98;160;1;0;0;0;1;1;-1;-1;1;19,5;18,7;12,6;30;35,5;21,4;259,9;45,1;17,8;6,7;18,27;18,36;18,11;17,85;85,6;87,1;85;55,49;33,29;0,01;95,1;1,01;0,5;100,6;0
5/8/2015;09:10;35;f;56;167;1;1;0;-2;0;0;0;0;1;19,5;18,7;12,6;30;35,5;21,4;259,9;45,1;17,8;6,7;18,27;18,36;18,11;17,85;85,6;87,1;85;55,49;33,29;0,01;95,1;1,01;0,5;100,6;0
5/8/2015;09:10;30;m;96;190;0,5;0;0;0;1;1;0;0;1;19,5;18,7;12,6;30;35,5;21,4;259,9;45,1;17,8;6,7;18,27;18,36;18,11;17,85;85,6;87,1;85;55,49;33,29;0,01;95,1;1,01;0,5;100,6;0
5/8/2015;09:20;26;m;50;173;1;2;0;2;1;1;-1;-1;1;19,7;18,8;12,6;30;35,9;21,5;259,9;45,6;17,9;6,6;18,29;18,34;18,25;17,9;86,6;86,6;85,7;50,29;30,17;0;0;0;0;53,53;0
5/8/2015;09:20;22;f;96;174;1;0;0;2;1;1;-1;-1;1;19,7;18,8;12,6;30;35,9;21,5;259,9;45,6;17,9;6,6;18,29;18,34;18,25;17,9;86,6;86,6;85,7;50,29;30,17;0;0;0;0;53,53;0
5/8/2015;09:20;23;f;47;155;1;0;1;1;1;1;0;0;1;19,7;18,8;12,6;30;35,9;21,5;259,9;45,6;17,9;6,6;18,29;18,34;18,25;17,9;86,6;86,6;85,7;50,29;30,17;0;0;0;0;53,53;0
5/8/2015;09:20;33;m;82;175;1;0;0;0;0;0;-1;0;0;19,7;18,8;12,6;30;35,9;21,5;259,9;45,6;17,9;6,6;18,29;18,34;18,25;17,9;86,6;86,6;85,7;50,29;30,17;0;0;0;0;53,53;0
5/8/2015;09:20;28;f;62;155;1;1;1;2;1;1;-1;0;1;19,7;18,8;12,6;30;35,9;21,5;259,9;45,6;17,9;6,6;18,29;18,34;18,25;17,9;86,6;86,6;85,7;50,29;30,17;0;0;0;0;53,53;0
5/8/2015;09:20;36;f;60;152;1;0;0;0;0;0;-1;0;1;19,7;18,8;12,6;30;35,9;21,5;259,9;45,6;17,9;6,6;18,29;18,34;18,25;17,9;86,6;86,6;85,7;50,29;30,17;0;0;0;0;53,53;0
5/8/2015;09:30;33;f;70;160;0,5;2;3;-2;1;-1;-1;1;0;19,6;18,5;12,5;29,5;36,2;21,5;261,6;45,7;17,8;6,1;18,19;18,25;18,16;17,84;87,7;87,7;86,6;32,71;19,62;0;0;0;0;12,95;0
5/8/2015;09:30;24;m;70;165;1;2;1;-2;1;-1;-1;-1;1;19,6;18,5;12,5;29,5;36,2;21,5;261,6;45,7;17,8;6,1;18,19;18,25;18,16;17,84;87,7;87,7;86,6;32,71;19,62;0;0;0;0;12,95;0
5/8/2015;09:30;30;m;76;168;0,5;0;0;-1;0;-1;-1;-1;-1;19,6;18,5;12,5;29,5;36,2;21,5;261,6;45,7;17,8;6,1;18,19;18,25;18,16;17,84;87,7;87,7;86,6;32,71;19,62;0;0;0;0;12,95;0
5/8/2015;09:30;19;f;65;164;1;0;0;0;1;0;-1;0;0;19,6;18,5;12,5;29,5;36,2;21,5;261,6;45,7;17,8;6,1;18,19;18,25;18,16;17,84;87,7;87,7;86,6;32,71;19,62;0;0;0;0;12,95;0
5/8/2015;09:30;56;f;55;151;1;0;0;-1;1;-1;-1;0;0;19,6;18,5;12,5;29,5;36,2;21,5;261,6;45,7;17,8;6,1;18,19;18,25;18,16;17,84;87,7;87,7;86,6;32,71;19,62;0;0;0;0;12,95;0
